capcode,regio,discipline,plaats,omschrijving
000100280,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100281,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100282,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100283,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100284,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100285,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100286,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100287,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100288,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100289,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100290,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100291,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Anton
000100292,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100293,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100294,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100295,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100296,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100297,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100298,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100299,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100300,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100301,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100302,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100303,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100304,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100305,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100306,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100307,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100308,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100309,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100310,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Dirk
000100311,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Dirk
000100312,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Dirk
000100313,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100314,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100315,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100316,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100317,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100318,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100319,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100320,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100321,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100322,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100323,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100324,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100325,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100326,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100327,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100328,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100329,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100330,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100331,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100332,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100333,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100334,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100335,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100336,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100337,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100338,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100339,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100340,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100341,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100342,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100343,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100344,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100345,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100346,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100347,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100348,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100349,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100350,Amsterdam-Amstelland,Brandweer,Amsterdam-Dirk,TS
000100351,Amsterdam-Amstelland,Brandweer,Amsterdam-Dirk,AL
000100352,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100353,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100354,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100355,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100356,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100357,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100358,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100359,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100360,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,Regionaal
000100361,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100362,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100363,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100364,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100365,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
000100366,Amsterdam-Amstelland,Brandweer,Amsterdam-Amstelland,
